House,Brand,PL,CFG,first,m0,y1
Burberry Make up,Burberry Eyes (01203),Burberry Beyond Volume Mascara (00006319),P_US_ALL_OTHERS,2024.M10,120.0,713.0
Burberry Make up,Burberry Eyes (01203),Burberry Eyequads (00006359),P_US_ALL_OTHERS,2024.M10,76.0,3048.0
Burberry Make up,Burberry Face (01205),BEYOND RADIANCE BASE (00006033),P_US_ALL_OTHERS,2024.M10,16120.0,46075.0
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Blush (00006342),P_US_ALL_OTHERS,2025.M08,690.0,4277.0
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Concealer (00006339),P_US_ALL_OTHERS,2024.M10,186.0,4399.0
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Loose Powder (00006341),P_US_ALL_OTHERS,2025.M12,320.0,
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Perfecting Mtt Foun (00006068),P_US_ALL_OTHERS,2024.M10,526.0,44530.0
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Powder (00006340),P_US_ALL_OTHERS,2024.M10,76.0,618.0
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Radiance Primer (00006888),P_US_ALL_OTHERS,2025.M07,452.0,46399.0
Burberry Make up,Burberry Lips (01204),Burberry Brit Shine (00006037),P_US_ALL_OTHERS,2024.M10,305.0,2469.0
Burberry Make up,Burberry Lips (01204),Burberry Kisses Liquid Matte (00006066),P_US_ALL_OTHERS,2025.M08,46.0,436.0
Burberry Make up,Burberry Lips (01204),Burberry Kisses Matte (00005927),P_US_ALL_OTHERS,2024.M10,129.0,1722.0
Burberry Make up,Burberry Lips (01204),Burberry Kisses Matte Shade Extension (00006637),P_US_ALL_OTHERS,2025.M03,32.0,491.0
Burberry Make up,Burberry Lips (01204),Burberry Kisses Reno (00005785),P_US_ALL_OTHERS,2024.M10,338.0,3208.0
Gucci,Flora by Gucci (00837),Flora by Gucci EDP (00003439),P_US_ALL_OTHERS,2023.M10,305.0,1296.0
Gucci,Gucci Bloom (01043),Gucci Bloom Ambrosia dOro (00006855),P_US_ALL_OTHERS,2025.M12,23782.0,
Gucci,Gucci Bloom (01043),Gucci Bloom Ambrosia dOro (00006855),P_US_ULTA,2025.M12,25995.0,
Gucci,Gucci Bloom (01043),Gucci Bloom Chrysalis (00006776),P_US_ALL_OTHERS,2025.M03,118894.0,408754.0
Gucci,Gucci Bloom (01043),Gucci Bloom Chrysalis (00006776),P_US_ULTA,2025.M02,75.0,41722.0
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Gardenia Intense (00007022),P_US_ALL_OTHERS,2025.M04,67.0,609445.0
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Gardenia Intense (00007022),P_US_ULTA,2025.M05,62937.0,162332.0
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Orchid (00006613),P_US_ALL_OTHERS,2024.M06,163591.0,918171.0
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Orchid (00006613),P_US_ULTA,2024.M07,60052.0,201350.0
