House,PL,CFG,cuts,actuals,rate,months
Kylie Makeup,Kylie Skin Tint Foundation (00006730),P_US_ULTA,731437.0,745763.0,0.4951509612780937,17
Kylie Makeup,Kylie Supple Kiss Precision Lip Kit (00007015),P_US_ULTA,162008.0,316984.0,0.33822694324748637,10
Gucci Make up,Gucci Face Bronzing Powder (00005685),P_US_ALL_OTHERS,125786.0,87910.0,0.5886212189278227,19
Kylie Makeup,Kylie Matte Lip Kit (00006094),P_US_ULTA,117780.0,770364.0,0.13261363022212613,13
Gucci Make up,Gucci Matt Foundation (00006173),P_US_ALL_OTHERS,75750.0,180844.0,0.29521345004170013,19
Gucci,Gorgeous Gardenia (00005915),P_US_ALL_OTHERS,68202.0,1538972.0,0.04243597768505464,13
Gucci,Gucci Bloom EDT (00005943),P_US_ALL_OTHERS,61448.0,63592.0,0.4914267434420985,18
Kylie Makeup,Kylie Velvet Lip Kit (00006095),P_US_ULTA,50612.0,104666.0,0.32594443514213217,11
Kylie Makeup,Kylie Plumping Lip Liner (00006746),P_US_ULTA,43328.0,120447.0,0.2645580827354602,12
Kylie Makeup,Kylie Precision Pout Lip Liner (00006731),P_US_ULTA,41214.0,238525.0,0.14733018992703914,11
Kylie Makeup,Kylie Tinted butter balm (00006700),P_US_ULTA,37380.0,139044.0,0.21187593524690518,6
Gucci Make up,Gucci Satin Lipstick (00005660),P_US_ALL_OTHERS,37375.0,29556.0,0.5584109007784136,19
Gucci Make up,Gucci Matte Lipstick (00005663),P_US_ALL_OTHERS,34589.0,196220.0,0.14985984082076523,19
Kylie Makeup,Kylie Foundation (00006130),P_US_ULTA,31234.0,45446.0,0.4073291601460616,4
Gucci Make up,Gucci Shine lipstick (00005671),P_US_ALL_OTHERS,29512.0,86617.0,0.254131181703106,16
Gucci,Gucci Bloom EDP Intense (00006292),P_US_ALL_OTHERS,28109.0,91607.0,0.234797353737178,17
Kylie Makeup,Kylie Loose Powder (00006129),P_US_ULTA,25301.0,34913.0,0.420184674660378,9
Gucci,Gucci Guilty PF 21 (00005854),P_US_ULTA,25167.0,85410.0,0.22759705906291544,11
Gucci,Flora Gorgeous Jasmine  (00005984),P_US_ALL_OTHERS,25118.0,99251.0,0.2019635118076048,12
Gucci,Gucci Guilty Pour Femme EDP (00005015),P_US_ULTA,24287.0,32221.0,0.4297975507892688,15
Gucci,Gucci Bloom EDT (00005943),P_US_ULTA,24132.0,59382.0,0.28895754005316476,18
Gucci,Gucci Guilty Black Pour Homme (00003465),P_US_ALL_OTHERS,23979.0,501704.0,0.045614942845783484,11
Gucci,Gucci Guilty Pour Femme EDP (00005015),P_US_ALL_OTHERS,23219.0,151340.0,0.13301519829971528,17
Gucci Make up,Gucci Face Concealer (00005677),P_US_ALL_OTHERS,22597.0,46814.0,0.3255535866073101,19
Kylie Makeup,Kylie Concealer (00006124),P_US_ULTA,20499.0,98481.0,0.17228946041351487,14
Gucci Make up,Gucci Eye Khôl (00005653),P_US_ALL_OTHERS,19050.0,9855.0,0.6590555267254801,13
Gucci,Gucci Guilty PF NEW 22 (00006018),P_US_ULTA,19040.0,5393.0,0.7792739327958089,10
Gucci,Gucci Guilty Black Pour Homme (00003465),P_US_ULTA,18471.0,231292.0,0.07395410849485312,9
Gucci Make up,Gucci Liquid Tint Lipstick (00007209),P_US_ALL_OTHERS,18361.0,37261.0,0.330103196576894,3
Gucci Make up,Gucci Blush Powder (00006171),P_US_ALL_OTHERS,18358.0,71339.0,0.20466682274769502,13
Gucci,Gucci Guilty Pour Homme (00003463),P_US_ALL_OTHERS,18040.0,969751.0,0.01826297263287477,17
Gucci,Flora Gorgeous Jasmine  (00005984),P_US_ULTA,17913.0,45061.0,0.28445072569631913,9
Gucci,Gucci Guilty PH Eau de Parfum (00005405),P_US_ALL_OTHERS,17562.0,745542.0,0.023013901119637692,19
Kylie Makeup,Kylie Hybrid Blush (00006713),P_US_ULTA,17153.0,165439.0,0.09394168419207852,5
Gucci,Gucci Bloom EDP Intense (00006292),P_US_ULTA,16440.0,15254.0,0.5187101659620117,14
Gucci Make up,Gucci Face Liquid Primer (00005678),P_US_ALL_OTHERS,14296.0,27409.0,0.3427886344563002,9
Kylie Jenner Fragrances,Cosmic Kylie Jenner (00006014),P_US_ULTA,13951.0,588944.0,0.023140016089037062,8
Kylie Makeup,Kylie Foundation (00006130),P_US_ALL_OTHERS,13155.0,67398.0,0.163308629101337,12
Kylie Makeup,Kylie Summer (00006440),P_US_ULTA,13144.0,80457.0,0.1404258501511736,4
Kylie Makeup,Accesories (00006010),P_US_ULTA,12725.0,191739.0,0.06223589482745129,6
Gucci Make up,Gucci Matte lip liquid (00005670),P_US_ALL_OTHERS,12412.0,25989.0,0.3232207494596495,18
Gucci,Gucci Guilty PF 21 (00005854),P_US_ALL_OTHERS,11881.0,174072.0,0.06389248896226465,14
Gucci,Gucci Guilty PH Eau de Parfum (00005405),P_US_ULTA,11681.0,243051.0,0.045856036932933435,12
Kylie Makeup,Kylie Matte Liquid Lipstick (00006096),P_US_ULTA,9812.0,26210.0,0.2723890955527178,5
Kylie Makeup,Lips Multi (00006013),P_US_ULTA,9627.0,154461.0,0.0586697381892643,5
Gucci,Gucci Bloom EDP (00004476),P_US_ULTA,9614.0,53953.0,0.15124199663347335,10
Gucci,Gorgeous Gardenia (00005915),P_US_ULTA,9589.0,638766.0,0.014789737103901412,9
Gucci,Gucci Flora Gorgeous Gardenia Intense (00007022),P_US_ALL_OTHERS,9458.0,874186.0,0.010703405443821267,4
Kylie Makeup,Kylie Skin Tint Foundation (00006730),P_US_ALL_OTHERS,9415.0,55061.0,0.14602332650908864,17
Gucci,Gucci Flora Gorgeous Orchid (00006613),P_US_ULTA,9257.0,143969.0,0.06041402895070027,3
Gucci,Gucci Guilty PF NEW 22 (00006018),P_US_ALL_OTHERS,8667.0,9501.0,0.4770475561426684,11
Gucci,Gucci Flora Gorgeous Magnolia (00006454),P_US_ALL_OTHERS,8607.0,193654.0,0.04255392784570431,8
Gucci Make up,Gucci Nail Polish (00005688),P_US_ALL_OTHERS,8377.0,11012.0,0.43204910000515756,18
Gucci Make up,Gucci Compact Finishing Powder (00005674),P_US_ALL_OTHERS,8350.0,9413.0,0.4700782525474301,7
