House,Brand,PL,CFG,a12,a6,ap12,c12,cfwd,cuts,e6,ep6,last_cons,cut_rate,fwd_vs_run,epos_g,sellin_g
Burberry Make up,Burberry Eyes (01203),Burberry Beyond Volume Mascara (00006319),P_US_ALL_OTHERS,698.0,182.0,582.0,3451.3448275862065,4548.3448275862065,0.0,202.0,170.0,2029.M07,0.0,4.944620096828376,0.18823529411764706,-0.3745704467353952
Burberry Make up,Burberry Eyes (01203),Burberry Eyequads (00006359),P_US_ALL_OTHERS,5560.0,2765.0,2175.0,11323.0,24522.0,104.0,1646.0,1433.0,2029.M07,0.018361581920903956,2.0365107913669065,0.14863921842288905,1.542528735632184
Burberry Make up,Burberry Face (01205),BEYOND RADIANCE BASE (00006033),P_US_ALL_OTHERS,6779.0,4201.0,43897.0,6831.0,6981.0,45.0,0.0,173.0,2027.M12,0.006594372801875733,1.00767074789792,-1.0,-0.8085973984554753
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Blush (00006342),P_US_ALL_OTHERS,4277.0,2028.0,0.0,7192.33333333333,15135.33333333333,118.0,1127.0,1000.0,2029.M07,0.026848691695108076,1.6816304263112767,0.127,
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Concealer (00006339),P_US_ALL_OTHERS,9491.0,5027.0,876.0,15131.0,30703.0,2.0,252.0,131.0,2029.M07,0.00021068155482987464,1.5942471815404067,0.9236641221374046,10.47716894977169
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Loose Powder (00006341),P_US_ALL_OTHERS,1483.0,1125.0,0.0,2765.0,2765.0,18.0,347.0,5.0,2027.M05,0.011992005329780146,1.8644639244774106,68.4,
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Matte Primer (00006887),P_US_ALL_OTHERS,0.0,0.0,0.0,31959.0,33510.0,0.0,0.0,0.0,2028.M08,,,,
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Perfecting Mtt Foun (00006068),P_US_ALL_OTHERS,27392.0,6885.0,26556.0,19917.0,37088.0,145.0,444.0,276.0,2029.M07,0.005265642589969859,0.7271101051401869,0.6086956521739131,-0.4814731134206959
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Powder (00006340),P_US_ALL_OTHERS,1164.0,574.0,400.0,5103.0,8126.0,244.0,284.0,178.0,2029.M07,0.17329545454545456,4.384020618556701,0.5955056179775281,1.87
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Radiance Primer (00006888),P_US_ALL_OTHERS,46238.0,29398.0,452.0,110130.0,206408.0,2.0,558.0,310.0,2029.M07,4.325259515570934e-05,2.3818071715904665,0.8,129.0796460176991
Burberry Make up,Burberry Face (01205),Burberry Fresh Glow (00005730),P_US_ALL_OTHERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Burberry Make up,Burberry Face (01205),Burberry Matte Glow Foundation (00005740),P_US_ALL_OTHERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Burberry Make up,Burberry Face (01205),Burberry Outdoor Glow Powder (00007170),P_US_ALL_OTHERS,0.0,0.0,0.0,2640.0,10659.0,0.0,0.0,0.0,2029.M06,,,,
Burberry Make up,Burberry Lips (01204),Burberry Beyond Rouge Matte (00006479),P_US_ALL_OTHERS,0.0,0.0,0.0,49469.0,61361.0,0.0,0.0,0.0,2028.M08,,,,
Burberry Make up,Burberry Lips (01204),Burberry Beyond Rouge Satin (00006473),P_US_ALL_OTHERS,0.0,0.0,0.0,76988.0,86842.0,0.0,0.0,0.0,2028.M08,,,,
Burberry Make up,Burberry Lips (01204),Burberry Brit Matte Veil (00006803),P_US_ALL_OTHERS,0.0,0.0,0.0,1474.3448275862067,1474.3448275862067,0.0,0.0,0.0,2026.M10,,,,
Burberry Make up,Burberry Lips (01204),Burberry Brit Shine (00006037),P_US_ALL_OTHERS,7277.0,5159.0,1433.0,18382.666666666664,27064.666666666664,0.0,952.0,427.0,2029.M07,0.0,2.5261325637854424,1.2295081967213115,6.200279134682484
Burberry Make up,Burberry Lips (01204),Burberry Kisses Gloss (00005723),P_US_ALL_OTHERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
