House,Brand,PL,CFG,a12,a6,ap12,c12,cfwd,cuts,e6,ep6,last_cons,cut_rate,fwd_vs_run,epos_g,sellin_g,flag
Gucci,Gucci Bloom (01043),Gucci Bloom EDT (00005943),P_US_ALL_OTHERS,42217.0,20704.0,44205.0,50405.529987021,50405.529987021,41587.0,11255.0,20334.0,2027.M06,0.49624122953558303,1.1939628582566502,-0.4464935575882758,-0.06327338536364664,CONSUMER-DECLINE
Gucci,Gucci Flora (01228),Gorgeous Gardenia (00005915),P_US_ALL_OTHERS,979060.0,253473.0,1192836.0,1421449.3000595411,1421449.3000595411,16253.0,154618.0,303185.0,2027.M06,0.016329536537752445,1.451851061282803,-0.4900209443079308,-0.5750077965453759,CONSUMER-DECLINE
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Orchid (00006613),P_US_ALL_OTHERS,320539.0,139666.0,684013.0,421605.8924171241,421605.8924171241,3290.0,48994.0,69818.0,2027.M06,0.010159683042593468,1.3153029503964389,-0.29826119338852447,-0.5916276445038325,CONSUMER-DECLINE
Gucci,Gucci Guilty (00840),Gucci Guilty PH Eau de Parfum (00005405),P_US_ALL_OTHERS,464068.0,276592.0,373636.0,1355580.0,1355580.0,11730.0,36324.0,56495.0,2027.M06,0.024653319265738823,2.921080531301447,-0.3570404460571732,0.48054256013874463,CONSUMER-DECLINE
Gucci,Gucci Guilty (00840),Gucci Guilty Pour Homme (00003463),P_US_ULTA,52949.0,23691.0,52736.0,50971.1386554621,50971.1386554621,1502.0,9269.0,24621.0,2027.M06,0.027584433711042956,0.9626459169287824,-0.6235327565899029,-0.10152457524271845,CONSUMER-DECLINE
Gucci,Gucci Luxury Collection (01096),Gucci Luxury Collection (00004823),P_US_ALL_OTHERS,134496.0,86737.0,380328.0,333107.4666666665,333107.4666666665,427.0,1065.0,1781.0,2027.M06,0.003164768052889426,2.4767090966769754,-0.40202133632790565,-0.5438831745230432,CONSUMER-DECLINE
Gucci Make up,Gucci Face (01201),Gucci Blush Powder (00006171),P_US_ALL_OTHERS,37892.0,12518.0,63433.0,48671.0,48671.0,14377.0,12142.0,21295.0,2027.M06,0.27505787369186324,1.2844663781273091,-0.4298192063864757,-0.6053158450648716,CONSUMER-DECLINE
Gucci Make up,Gucci Lips (01200),Gucci Shine lipstick (00005671),P_US_ALL_OTHERS,52162.0,20476.0,52109.0,138147.92233502527,138147.92233502527,22363.0,9999.0,15441.0,2027.M06,0.3000738007380074,2.6484399051996714,-0.35243831358072664,-0.2141088871404172,CONSUMER-DECLINE
Kylie Jenner Fragrances,Cosmic Kylie Jenner (01246),Cosmic Kylie Jenner (00006014),P_US_ALL_OTHERS,113359.0,20650.0,207884.0,190723.0,320544.0,36.0,17377.0,35226.0,2029.M07,0.0003174743154460073,1.682468970262617,-0.5066995968886617,-0.8013315118046603,CONSUMER-DECLINE
Kylie Makeup,Collection (01319),Kylie Holiday (00006439),P_US_ALL_OTHERS,25122.0,39.0,8089.0,25000.0,25000.0,0.0,1525.0,19936.0,2026.M10,0.0,0.9951436987500996,-0.9235052166934189,-0.9903572753121523,CONSUMER-DECLINE
Kylie Makeup,Face (01243),Kylie Hybrid Blush (00006713),P_US_ALL_OTHERS,14070.0,6094.0,12690.0,23587.21002745608,84197.21002745608,395.0,4479.0,7859.0,2029.M07,0.027307293466989284,1.6764186231312068,-0.4300801628705942,-0.03955870764381403,CONSUMER-DECLINE
Kylie Makeup,Face (01243),Kylie Loose Powder (00006129),P_US_ULTA,20390.0,8609.0,36824.0,19925.0,37484.0,11228.0,8371.0,11462.0,2029.M07,0.35511417546966917,0.9771947032859245,-0.2696737044145873,-0.532424505757115,CONSUMER-DECLINE
Kylie Makeup,Kylie Makeup Other (01223),Accesories (00006010),P_US_ALL_OTHERS,35021.0,11163.0,80449.0,147806.7810357958,159365.7810357958,23.0,2864.0,4208.0,2029.M07,0.000656317771943842,4.220518575591668,-0.3193916349809886,-0.7224825665949857,CONSUMER-DECLINE
