House,Brand,PL,CFG,a12,a6,ap12,c12,cfwd,cuts,e6,ep6,last_cons,cut_rate,fwd_vs_run,epos_g,sellin_g,flag
Gucci,Gucci Bloom (01043),Gucci Bloom Ambrosia dOro (00006855),P_US_ULTA,40896.0,11862.0,0.0,261.0,261.0,0.0,4262.0,0.0,2026.M08,0.0,0.006382042253521127,,,LOST-FORECAST
Gucci,Gucci Bloom (01043),Gucci Bloom Chrysalis (00006776),P_US_ULTA,4428.0,3219.0,40513.0,471.0159235668789,471.0159235668789,0.0,1867.0,3297.0,2027.M06,0.0,0.10637215979378475,-0.43372763117986046,-0.8410880458124552,LOST-FORECAST
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Gardenia Intense (00007022),P_US_ALL_OTHERS,638007.0,318339.0,236179.0,75532.6385687483,75532.6385687483,9458.0,43118.0,68890.0,2027.M06,0.014607739414485725,0.11838841669252578,-0.37410364348962116,1.6957434826974456,LOST-FORECAST
Gucci,Gucci Guilty (00840),Gucci Guilty Limited Editions F (00007090),P_US_ULTA,38887.0,26356.0,30674.0,2013.0,2013.0,382.0,6695.0,12533.0,2027.M06,0.009727775089765463,0.05176537146089953,-0.46581026091119443,0.7184586294581731,LOST-FORECAST
Gucci,Gucci Guilty (00840),Gucci Guilty Limited Editions M (00007089),P_US_ULTA,16310.0,4439.0,28929.0,1649.0,1649.0,1689.0,4479.0,8860.0,2027.M06,0.09383854658592145,0.10110361741263028,-0.49446952595936794,-0.6931107193473677,LOST-FORECAST
Gucci,Gucci Guilty (00840),Gucci Guilty Liqueurs PF (00007144),P_US_ALL_OTHERS,5781.0,281.0,245.0,622.7272727272727,622.7272727272727,0.0,445.0,1264.0,2027.M06,0.0,0.1077196458618358,-0.6479430379746836,1.2938775510204081,LOST-FORECAST
Gucci,Gucci Guilty (00840),Gucci Guilty Liqueurs PH PF (00006775),P_US_ULTA,20232.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,LOST-FORECAST
Gucci Make up,Gucci Others (01202),Gucci Color Multiline (00005687),P_US_ALL_OTHERS,14214.0,665.0,66777.0,0.0,0.0,342.0,190.0,5805.0,,0.023495465787304205,0.0,-0.967269595176572,-0.9800829626967369,LOST-FORECAST
Kylie Jenner Fragrances,Cosmic Kylie Jenner (01246),Cosmic Kylie Jenner FLANKER (00006785),P_US_ALL_OTHERS,61504.0,6301.0,810.0,2537.171934260429,4056.171934260429,0.0,4976.0,8660.0,2029.M07,0.0,0.04125214513300646,-0.4254041570438799,14.558024691358025,LOST-FORECAST
Kylie Jenner Fragrances,Cosmic Kylie Jenner (01246),Cosmic Kylie Jenner INTENSE (00007045),P_US_ULTA,299097.0,247914.0,0.0,15840.0,15840.0,687.0,99689.0,17485.0,2026.M08,0.002291649987991354,0.052959407817530765,4.701401201029454,,LOST-FORECAST
Kylie Jenner Fragrances,Kylie Jenner Mood Stones (01396),Kylie Jenner Mood Stones (00007046),P_US_ULTA,414978.0,414978.0,0.0,48793.0,48793.0,0.0,106.0,0.0,2026.M08,0.0,0.1175797271180641,,,LOST-FORECAST
Kylie Makeup,Collection (01319),Kylie Holiday (00006439),P_US_ULTA,18624.0,0.0,106111.0,0.0,0.0,0.0,0.0,9864.0,,0.0,0.0,-1.0,-1.0,LOST-FORECAST
Kylie Makeup,Eyes (01244),Kylie Mascara Mini (00006119),P_US_ULTA,72277.0,46277.0,104323.0,4505.8064516129,5111.8064516129,0.0,509.0,1930.0,2028.M08,0.0,0.06234080622622549,-0.7362694300518134,-0.11281309011435638,LOST-FORECAST
Kylie Makeup,Face (01243),Kylie Blush Sticks (00006132),P_US_ULTA,11319.0,308.0,28259.0,0.0,0.0,77.0,1855.0,13223.0,,0.006756756756756757,0.0,-0.8597141344626786,-0.9782016348773842,LOST-FORECAST
Kylie Makeup,Face (01243),Kylie Foundation (00006130),P_US_ULTA,15720.0,4620.0,183257.0,1833.0,22105.0,0.0,6052.0,16365.0,2029.M07,0.0,0.1166030534351145,-0.6301863733577757,-0.9495790065318105,LOST-FORECAST
Kylie Makeup,Face (01243),Kylie Supple Primer (00006890),P_US_ULTA,29335.0,29335.0,0.0,2460.0,2460.0,0.0,1586.0,0.0,2026.M08,0.0,0.0838588716550196,,,LOST-FORECAST
