House,Brand,PL,CFG,a12,a6,ap12,c12,cfwd,cuts,e6,ep6,last_cons,cut_rate,fwd_vs_run,epos_g,sellin_g,flag
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Radiance Primer (00006888),P_US_ALL_OTHERS,46238.0,29398.0,452.0,110130.0,206408.0,2.0,558.0,310.0,2029.M07,4.325259515570934e-05,2.3818071715904665,0.8,129.0796460176991,OVER-BOOKED
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Orchid Intense (00007099),P_US_ALL_OTHERS,257929.0,257929.0,0.0,1051557.0,1051557.0,3.0,11646.0,0.0,2027.M06,1.1630972504380999e-05,4.076924269857209,,,OVER-BOOKED
Gucci,Gucci Guilty (00840),Gucci Guilty Limited Editions F (00007090),P_US_ALL_OTHERS,69044.0,15660.0,134489.0,131724.0,131724.0,838.0,16270.0,21209.0,2027.M06,0.011991643055436306,1.907826892995771,-0.23287283700315903,-0.767118500397802,OVER-BOOKED
Gucci,Gucci Guilty (00840),Gucci Guilty New27 pour Homme (00007262),P_US_ALL_OTHERS,63614.0,63614.0,0.0,687453.0,692806.0,0.0,0.0,0.0,2029.M03,0.0,10.80663061590216,,,OVER-BOOKED
Gucci,Gucci Guilty (00840),Gucci Guilty PH Eau de Parfum (00005405),P_US_ALL_OTHERS,464068.0,276592.0,373636.0,1355580.0,1355580.0,11730.0,36324.0,56495.0,2027.M06,0.024653319265738823,2.921080531301447,-0.3570404460571732,0.48054256013874463,OVER-BOOKED
Gucci,Gucci Luxury Collection (01096),Gucci Luxury Collection (00004823),P_US_ALL_OTHERS,134496.0,86737.0,380328.0,333107.4666666665,333107.4666666665,427.0,1065.0,1781.0,2027.M06,0.003164768052889426,2.4767090966769754,-0.40202133632790565,-0.5438831745230432,OVER-BOOKED
Gucci Make up,Gucci Face (01201),Gucci Face Concealer (00005677),P_US_ALL_OTHERS,18634.0,5900.0,95434.0,73340.0,73340.0,16566.0,6187.0,7844.0,2027.M06,0.470625,3.9358162498658364,-0.21124426313105557,-0.8763543391244211,OVER-BOOKED
Gucci Make up,Gucci Lips (01200),Gucci Shine lipstick (00005671),P_US_ALL_OTHERS,52162.0,20476.0,52109.0,138147.92233502527,138147.92233502527,22363.0,9999.0,15441.0,2027.M06,0.3000738007380074,2.6484399051996714,-0.35243831358072664,-0.2141088871404172,OVER-BOOKED
Kylie Jenner Fragrances,Cosmic Kylie Jenner (01246),Cosmic Kylie Jenner (00006014),P_US_ALL_OTHERS,113359.0,20650.0,207884.0,190723.0,320544.0,36.0,17377.0,35226.0,2029.M07,0.0003174743154460073,1.682468970262617,-0.5066995968886617,-0.8013315118046603,OVER-BOOKED
Kylie Jenner Fragrances,Cosmic Kylie Jenner (01246),Cosmic Kylie Jenner INTENSE (00007045),P_US_ALL_OTHERS,15442.0,15442.0,0.0,200148.0,214584.0,0.0,2152.0,1553.0,2028.M07,0.0,12.961274446315244,0.38570508692852545,,OVER-BOOKED
Kylie Jenner Fragrances,Kylie Jenner Mist Collection (01409),Kylie Jenner Mist Collection (00007114),P_US_ALL_OTHERS,51340.0,19216.0,0.0,104570.0,104570.0,0.0,14832.0,17887.0,2027.M06,0.0,2.0368134008570316,-0.17079443171018058,,OVER-BOOKED
Kylie Makeup,Face (01243),Kylie Hybrid Blush (00006713),P_US_ALL_OTHERS,14070.0,6094.0,12690.0,23587.21002745608,84197.21002745608,395.0,4479.0,7859.0,2029.M07,0.027307293466989284,1.6764186231312068,-0.4300801628705942,-0.03955870764381403,OVER-BOOKED
Kylie Makeup,Face (01243),Kylie Skin Tint Foundation (00006730),P_US_ALL_OTHERS,49568.0,31580.0,14845.0,256114.12374549994,511612.12374549994,7338.0,10930.0,11295.0,2029.M07,0.12894949565950867,5.1669247043556314,-0.03231518370960602,3.2546311889525095,OVER-BOOKED
Kylie Makeup,Kylie Makeup Other (01223),Accesories (00006010),P_US_ALL_OTHERS,35021.0,11163.0,80449.0,147806.7810357958,159365.7810357958,23.0,2864.0,4208.0,2029.M07,0.000656317771943842,4.220518575591668,-0.3193916349809886,-0.7224825665949857,OVER-BOOKED
Kylie Makeup,Lips (01245),Kylie Precision Pout Lip Liner (00006731),P_US_ALL_OTHERS,16010.0,10521.0,18028.0,73970.65037593985,115972.65037593985,849.0,5795.0,5981.0,2029.M07,0.050358858769796545,4.620277974762014,-0.031098478515298445,0.16718437985356113,OVER-BOOKED
