House,Brand,PL,CFG,a12,a6,ap12,c12,cfwd,cuts,e6,ep6,last_cons,cut_rate,fwd_vs_run,epos_g,sellin_g,flag
Burberry Make up,Burberry Face (01205),Burberry Beyond Wear Matte Primer (00006887),P_US_ALL_OTHERS,0.0,0.0,0.0,31959.0,33510.0,0.0,0.0,0.0,2028.M08,,,,,PHANTOM-FORECAST
Burberry Make up,Burberry Lips (01204),Burberry Beyond Rouge Matte (00006479),P_US_ALL_OTHERS,0.0,0.0,0.0,49469.0,61361.0,0.0,0.0,0.0,2028.M08,,,,,PHANTOM-FORECAST
Burberry Make up,Burberry Lips (01204),Burberry Beyond Rouge Satin (00006473),P_US_ALL_OTHERS,0.0,0.0,0.0,76988.0,86842.0,0.0,0.0,0.0,2028.M08,,,,,PHANTOM-FORECAST
Gucci,Gucci Bloom (01043),Gucci Bloom Signature (00007298),P_US_ALL_OTHERS,0.0,0.0,0.0,62263.0,62263.0,0.0,0.0,0.0,2027.M06,,,,,PHANTOM-FORECAST
Gucci,Gucci Flora (01228),Gucci Flora Gorgeous Magnolia EDPI (00007240),P_US_ALL_OTHERS,0.0,0.0,0.0,296609.0,296609.0,0.0,0.0,0.0,2027.M06,,,,,PHANTOM-FORECAST
Gucci,Gucci Fragrance Other Lines (00845),Gucci Fragrance Other Lines (00003485),P_US_ALL_OTHERS,125.0,125.0,0.0,431558.0,431558.0,0.0,0.0,0.0,2027.M06,0.0,3452.464,,,PHANTOM-FORECAST
Gucci,Gucci Guilty (00840),Gucci Guilty Black (00003464),P_US_ALL_OTHERS,0.0,0.0,11431.0,19927.0,19927.0,0.0,0.0,0.0,2027.M04,,,,-1.0,PHANTOM-FORECAST
Gucci,Gucci Guilty (00840),Gucci Guilty Intense Pour Homme (00003469),P_US_ALL_OTHERS,0.0,0.0,0.0,34175.0,34175.0,0.0,0.0,0.0,2027.M04,,,,,PHANTOM-FORECAST
Gucci,Gucci Guilty (00840),Gucci Guilty New27 pour Homme (00007262),P_US_ULTA,0.0,0.0,0.0,25410.0,25410.0,0.0,0.0,0.0,2026.M08,,,,,PHANTOM-FORECAST
Gucci,Gucci Guilty (00840),Gucci Guilty Pour Femme (00003462),P_US_ALL_OTHERS,0.0,0.0,0.0,3627.0,3627.0,0.0,0.0,0.0,2026.M10,,,,,PHANTOM-FORECAST
Gucci,Gucci Guilty (00840),Gucci Guilty Pour Homme LE21 (00005825),P_US_ALL_OTHERS,0.0,0.0,0.0,16484.0,16484.0,0.0,0.0,0.0,2027.M06,,,,,PHANTOM-FORECAST
Gucci Make up,Gucci Lips (01200),Gucci Lip Plumping Gloss (00006486),P_US_ALL_OTHERS,0.0,0.0,0.0,13459.0,13459.0,0.0,0.0,0.0,2026.M09,,,,,PHANTOM-FORECAST
Kylie Jenner Fragrances,Cosmic Kylie Jenner (01246),Cosmic Kylie Jenner Pearl (00007271),P_US_ALL_OTHERS,0.0,0.0,0.0,410076.0,506772.0,0.0,0.0,0.0,2029.M06,,,,,PHANTOM-FORECAST
Kylie Makeup,Collection (01319),Kylie Gift Set (00006458),P_US_ALL_OTHERS,0.0,0.0,53577.0,6824.0,6824.0,0.0,780.0,8083.0,2026.M10,,,-0.9035011753061982,-1.0,PHANTOM-FORECAST
Kylie Makeup,Collection (01319),Kylie Summer (00006440),P_US_ALL_OTHERS,0.0,0.0,0.0,8650.0,8650.0,0.0,23.0,30.0,2027.M03,,,-0.23333333333333334,,PHANTOM-FORECAST
Kylie Makeup,Face (01243),Kylie Beam Me Up Highlighter Stick (00006712),P_US_ULTA,0.0,0.0,17712.0,22800.0,22800.0,0.0,67.0,1391.0,2027.M03,,,-0.9518332135154565,-1.0,PHANTOM-FORECAST
Kylie Makeup,Face (01243),Kylie Face Brushes (00007111),P_US_ALL_OTHERS,0.0,0.0,0.0,4173.0,7235.0,0.0,0.0,0.0,2029.M06,,,,,PHANTOM-FORECAST
Kylie Makeup,Face (01243),Kylie Glow Drops (00007112),P_US_ALL_OTHERS,0.0,0.0,0.0,91188.0,118626.0,0.0,0.0,0.0,2028.M02,,,,,PHANTOM-FORECAST
Kylie Makeup,Face (01243),Kylie Powder Blush (00006125),P_US_ULTA,2.0,0.0,1626.0,18000.0,18000.0,0.0,0.0,502.0,2027.M03,0.0,9000.0,-1.0,-1.0,PHANTOM-FORECAST
Kylie Makeup,Lips (01245),Kylie Plumping Matte Lip Kit (00006788),P_US_ALL_OTHERS,0.0,0.0,0.0,59702.0,98472.0,0.0,0.0,0.0,2028.M08,,,,,PHANTOM-FORECAST
