House,Brand,PL,CFG,a12,a6,ap12,c12,cfwd,cuts,e6,ep6,last_cons,cut_rate,fwd_vs_run,epos_g,sellin_g,flag
Gucci,Gucci Bloom (01043),Gucci Bloom EDP Intense (00006292),P_US_ULTA,10323.0,2900.0,8573.0,4683.367741935483,4683.367741935483,6145.0,2309.0,8244.0,2027.M06,0.3731479232450814,0.4536828191354725,-0.7199175157690442,-0.32345736614953924,SERVICE-LOSS
Gucci,Gucci Bloom (01043),Gucci Bloom EDT (00005943),P_US_ALL_OTHERS,42217.0,20704.0,44205.0,50405.529987021,50405.529987021,41587.0,11255.0,20334.0,2027.M06,0.49624122953558303,1.1939628582566502,-0.4464935575882758,-0.06327338536364664,SERVICE-LOSS
Gucci,Gucci Flora (01228),Flora Gorgeous Jasmine  (00005984),P_US_ALL_OTHERS,55812.0,21245.0,90679.0,31647.00457001232,31647.00457001232,19553.0,17231.0,34465.0,2027.M06,0.2594440390101506,0.5670286778831133,-0.5000435224140433,-0.5314240342306378,SERVICE-LOSS
Gucci,Gucci Flora (01228),Flora Gorgeous Jasmine  (00005984),P_US_ULTA,31263.0,3039.0,28654.0,7685.3631477490635,7685.3631477490635,12810.0,10272.0,18766.0,2027.M06,0.2906541419916956,0.24582935571599218,-0.45262709154854525,-0.7878830180777553,SERVICE-LOSS
Gucci,Gucci Guilty (00840),Gucci Guilty PF NEW 22 (00006018),P_US_ULTA,4187.0,1539.0,1789.0,1665.673333333333,1665.673333333333,16271.0,1426.0,2005.0,2027.M06,0.7953367875647669,0.3978202372422577,-0.2887780548628429,0.7205142537730576,SERVICE-LOSS
Gucci,Gucci Guilty (00840),Gucci Guilty Pour Femme EDP (00005015),P_US_ULTA,23754.0,18969.0,50614.0,7703.0,7703.0,14267.0,2852.0,4156.0,2027.M06,0.3752399989479498,0.324282226151385,-0.31376323387872956,-0.250444541036077,SERVICE-LOSS
Gucci Make up,Gucci Face (01201),Gucci Blush Powder (00006171),P_US_ALL_OTHERS,37892.0,12518.0,63433.0,48671.0,48671.0,14377.0,12142.0,21295.0,2027.M06,0.27505787369186324,1.2844663781273091,-0.4298192063864757,-0.6053158450648716,SERVICE-LOSS
Gucci Make up,Gucci Face (01201),Gucci Face Bronzing Powder (00005685),P_US_ALL_OTHERS,58832.0,30371.0,43048.0,75427.0,75427.0,98361.0,27279.0,22573.0,2027.M06,0.6257339703421908,1.2820743812890945,0.2084791565144199,0.41102954841107603,SERVICE-LOSS
Gucci Make up,Gucci Face (01201),Gucci Face Concealer (00005677),P_US_ALL_OTHERS,18634.0,5900.0,95434.0,73340.0,73340.0,16566.0,6187.0,7844.0,2027.M06,0.470625,3.9358162498658364,-0.21124426313105557,-0.8763543391244211,SERVICE-LOSS
Gucci Make up,Gucci Face (01201),Gucci Matt Foundation (00006173),P_US_ALL_OTHERS,24297.0,9978.0,188827.0,23535.0,23535.0,49303.0,8383.0,7711.0,2027.M06,0.6698777173913043,0.9686381034695641,0.08714822980158216,-0.8943159611708071,SERVICE-LOSS
Gucci Make up,Gucci Lips (01200),Gucci Liquid Tint Lipstick (00007209),P_US_ALL_OTHERS,37261.0,37261.0,0.0,42117.0,42117.0,18361.0,16557.0,0.0,2027.M05,0.330103196576894,1.1303239311881055,,,SERVICE-LOSS
