House,Brand,PL,CFG,a12,a6,ap12,c12,cfwd,cuts,e6,ep6,last_cons,cut_rate,fwd_vs_run,epos_g,sellin_g,flag
Burberry Make up,Burberry Lips (01204),Burberry Kisses Reno (00005785),P_US_ALL_OTHERS,13764.0,2198.0,1878.0,5091.0,5091.0,174.0,760.0,528.0,2027.M03,0.01248385708136031,0.3698779424585876,0.4393939393939394,1.3407880724174654,UNDER-BOOKED
Gucci,Gucci Bamboo (00838),Gucci Bamboo EDP (00003448),P_US_ALL_OTHERS,20613.0,4640.0,14311.0,11042.176470588234,11042.176470588234,427.0,2231.0,12062.0,2027.M06,0.02029467680608365,0.5356899272589256,-0.8150389653457139,-0.35154776046397873,UNDER-BOOKED
Gucci,Gucci Bloom (01043),Gucci Bloom Ambrosia dOro (00006855),P_US_ULTA,40896.0,11862.0,0.0,261.0,261.0,0.0,4262.0,0.0,2026.M08,0.0,0.006382042253521127,,,UNDER-BOOKED
Gucci,Gucci Bloom (01043),Gucci Bloom Chrysalis (00006776),P_US_ALL_OTHERS,141449.0,17365.0,282632.0,31088.98407643312,31088.98407643312,128.0,5593.0,14282.0,2027.M06,0.0009041016549298261,0.21978935217946483,-0.6083881809270411,-0.8771193636955475,UNDER-BOOKED
Gucci,Gucci Bloom (01043),Gucci Bloom EDP (00004476),P_US_ALL_OTHERS,259967.0,78884.0,314913.0,96246.5,96246.5,3953.0,25569.0,52837.0,2027.M06,0.014978023643528342,0.3702258363561529,-0.5160777485474194,-0.49901083791396356,UNDER-BOOKED
Gucci,Gucci Bloom (01043),Gucci Bloom EDP Intense (00006292),P_US_ALL_OTHERS,52229.0,13103.0,97365.0,24187.63225806451,24187.63225806451,12645.0,11257.0,20712.0,2027.M06,0.1949162992878503,0.4631073208000251,-0.45649864812668983,-0.7308478405998049,UNDER-BOOKED
Gucci,Gucci Bloom (01043),Gucci Bloom EDP Intense (00006292),P_US_ULTA,10323.0,2900.0,8573.0,4683.367741935483,4683.367741935483,6145.0,2309.0,8244.0,2027.M06,0.3731479232450814,0.4536828191354725,-0.7199175157690442,-0.32345736614953924,UNDER-BOOKED
Gucci,Gucci Bloom (01043),Gucci Bloom EDT (00005943),P_US_ULTA,53383.0,16970.0,11080.0,16358.25385825772,16358.25385825772,12010.0,21661.0,9866.0,2027.M06,0.18365880140076155,0.30643189513998315,1.195519967565376,2.063176895306859,UNDER-BOOKED
Gucci,Gucci Flora (01228),Flora Gorgeous Jasmine  (00005984),P_US_ULTA,31263.0,3039.0,28654.0,7685.3631477490635,7685.3631477490635,12810.0,10272.0,18766.0,2027.M06,0.2906541419916956,0.24582935571599218,-0.45262709154854525,-0.7878830180777553,UNDER-BOOKED
Gucci,Gucci Flora (01228),Gorgeous Gardenia (00005915),P_US_ULTA,506313.0,277540.0,260845.0,136917.3776111408,136917.3776111408,6697.0,85085.0,124844.0,2027.M06,0.013054326426385451,0.27042042691208956,-0.31846944987344206,1.1280070539975848,UNDER-BOOKED
